六年前，大学毕业，他对她说：我们分手吧。后来在西部支教的列车上，他们相遇，他笑了，她哭了。四年前，在汶川地震中，他对她说：我们分手吧。后来，她活了下来，他成了植物人。但她骗了他，始终没有离开他。三个月前，他奇迹般地醒了。第一句话是：我们结婚吧。O网页链接 ​,90,广东
【5岁时被父亲踹成瘫痪，残疾小伙贴膜6年终于买房】河南南阳小伙夏西伟以三轮车为腿、贴膜为生。5岁那年，父亲又一次喝醉酒和母亲吵架之后，一脚踹在他的后腰上，造成高位截瘫。22岁那年，夏西伟前往南阳乞讨。2008年汶川地震，他将自己白天乞讨得来的30块钱捐给灾区人民。并自此下定决心，不再靠乞讨为生，要用双手讨回生活的尊严。此后，夏西伟先后从事过卖气球、卖CD、摆摊等各种小生意，最终选择贴膜。现在，他每天都在广场上贴膜，一张10块钱，生意好的时候一个月能赚3000多元。2014年，夏西伟用自己六年来贴膜攒下的钱在南阳城区买了一套住宅，终于有了自己的立身之地。夏西伟表示，自己已经原谅了父亲。“现在父亲是我唯一的亲人，也是我最重要的人。他现在也老了，照顾他是我的责任。” L不形象代言人的微博视频 收起全文d,90,上海
记得是汶川地震那年，我家养了只乌龟，在电视机的边上用缸放着的，我妈妈和她几个朋友在看电视，突然听到好像气艇发动的声音，她一个朋友就说是不是要地震了，赶快去外面，其实是乌龟放屁了，那天我回家笑得趴下了。 ​,90,山东
【王迅：抛弃喜剧风格《灵魂的救赎 》演绎地震丧子父亲】除了#大人物# ，本周末王迅 还有一部新片灵魂的救赎 上映。片中他饰演一位因地震丧失独生子的父亲，与以往王迅饰演的很多喜剧角色不同，面对我们的镜头时，王迅表示，这次他的表演将打破观众对他的风格定位。王迅说，自己作为汶川地震的亲历者，前前后后因为我一直在武警部队，经历了地震的全过程，包括后期的心理建设，所以非常想演这个角色。演惯了喜剧角色的王迅说，这次自己完全抛弃了熟悉的表演方式和擅长的东西，完全是新的尝试。 L中国电影报道的秒拍视频 收起全文d,90,北京
女友在汶川地震中去世，男友苦苦寻找十年，最后却要和别人结婚了！ L爱情电影频道的微博视频 ​,90,北京
【5岁时被父亲踹成瘫痪，残疾小伙贴膜6年终于买房】河南南阳小伙夏西伟以三轮车为腿、贴膜为生。5岁那年，父亲又一次喝醉酒和母亲吵架之后，一脚踹在他的后腰上，造成高位截瘫。22岁那年，夏西伟前往南阳乞讨。2008年汶川地震，他将自己白天乞讨得来的30块钱捐给灾区人民。并自此下定决心，不再靠乞讨为生，要用双手讨回生活的尊严。此后，夏西伟先后从事过卖气球、卖CD、摆摊等各种小生意，最终选择贴膜。现在，他每天都在广场上贴膜，一张10块钱，生意好的时候一个月能赚3000多元。2014年，夏西伟用自己六年来贴膜攒下的钱在南阳城区买了一套住宅，终于有了自己的立身之地。夏西伟表示，自己已经原谅了父亲。“现在父亲是我唯一的亲人，也是我最重要的人。他现在也老了，照顾他是我的责任。” L不形象代言人的微博视频 收起全文d,90,北京
公益电影《#灵魂的救赎# 》于1月11日正式登陆全国院线，这部讲述2008年汶川地震后失独家庭的电影，不知会戳中多少人的泪点。主演@黄小蕾 在宣传电影期间接受了360娱乐的专访，她表示拍摄这部戏对于自己来说非常的痛苦，不光是要用自己童年痛苦的回忆去贴合角色，更要保持内心挣扎的状态，拍摄过程中她还经常做噩梦。在片中有一场她打王迅的戏份，为了追求真实，两个人都坚持真打，预告片中呈现出的效果非常精彩。而另外一场戏是黄小蕾被别人抽耳光，她要求自己的经纪人来演这个角色，在经纪人“求饶”未果的情况下，经纪人还是使出浑身解数给了她一巴掌，打的黄小蕾险些晕厥过去。 L360娱乐的微博视频 收起全文d,90,北京
【5岁时被父亲踹成瘫痪，残疾小伙贴膜6年终于买房】河南南阳小伙夏西伟以三轮车为腿、贴膜为生。5岁那年，父亲又一次喝醉酒和母亲吵架之后，一脚踹在他的后腰上，造成高位截瘫。22岁那年，夏西伟前往南阳乞讨。2008年汶川地震，他将自己白天乞讨得来的30块钱捐给灾区人民。并自此下定决心，不再靠乞讨为生，要用双手讨回生活的尊严。此后，夏西伟先后从事过卖气球、卖CD、摆摊等各种小生意，最终选择贴膜。现在，他每天都在广场上贴膜，一张10块钱，生意好的时候一个月能赚3000多元。2014年，夏西伟用自己六年来贴膜攒下的钱在南阳城区买了一套住宅，终于有了自己的立身之地。夏西伟表示，自己已经原谅了父亲。“现在父亲是我唯一的亲人，也是我最重要的人。他现在也老了，照顾他是我的责任。” （新京报）L新京报我们视频的秒拍视频 收起全文d,90,北京
汶川地震时，中国伞兵十五勇士跳伞全过程.在你们离开机舱的瞬间，是世界伞兵史上最为光辉的一刻，这赌上生命去救生命的一跳，你们才是真正的王牌 L唯爱白米饭的秒拍视频 ​​​​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L正义力量的秒拍视频 ​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L翻滚吧笑点菌的秒拍视频 ​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L别动我有法力o的秒拍视频 ​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L爆笑插班生的秒拍视频 ​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L热点异想的秒拍视频 ​,90,北京
发布了头条文章：《未染俗世的原生态村落，家家户户垒石为居，在汶川地震中毫发无损》 O未染俗世的原生态村落，家家户户垒石为居，在汶川地震中毫发无损 ​,90,北京
//@思丢白小浣熊:我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,其他
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是四川绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。L一手video的秒拍视频 收起全文d,90,北京
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是四川绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。@一手Video L一手video的秒拍视频 收起全文d,90,北京
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是四川绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。L一手video的秒拍视频 收起全文d,90,北京
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是四川绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。@一手Video L一手video的秒拍视频 收起全文d,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L真话八卦姐的秒拍视频 ​,90,海外
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 LBIG小王爷的秒拍视频 ​,90,海外
【5岁时被父亲踹成瘫痪，残疾小伙贴膜6年终于买房】河南南阳小伙夏西伟以三轮车为腿、贴膜为生。5岁那年，父亲又一次喝醉酒和母亲吵架之后，一脚踹在他的后腰上，造成高位截瘫。22岁那年，夏西伟前往南阳乞讨。2008年汶川地震，他将自己白天乞讨得来的30块钱捐给灾区人民。并自此下定决心，不再靠乞讨为生，要用双手讨回生活的尊严。此后，夏西伟先后从事过卖气球、卖CD、摆摊等各种小生意，最终选择贴膜。现在，他每天都在广场上贴膜，一张10块钱，生意好的时候一个月能赚3000多元。2014年，夏西伟用自己六年来贴膜攒下的钱在南阳城区买了一套住宅，终于有了自己的立身之地。夏西伟表示，自己已经原谅了父亲。“现在父亲是我唯一的亲人，也是我最重要的人。他现在也老了，照顾他是我的责任。”  L扶不起的秒拍视频 收起全文d,90,北京
//@瘦驼://@思丢白小浣熊:我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,北京
//@瘦驼 ://@思丢白小浣熊 :我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,陕西
//@瘦驼://@思丢白小浣熊:我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,北京
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是四川绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。 L一手video的秒拍视频 收起全文d,90,河北
//@瘦驼://@思丢白小浣熊:我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,北京
//@瘦驼://@思丢白小浣熊:我家乡是汶川地震的重灾区，当时除了收到各种食物物资外，还有一家爱心企业捐赠的卫生巾。虽然是没听过名字的牌子，但还是很感谢。因为在当时真的很实用。后来每次遇到天灾需要捐赠，或者女性帮助项目时，我也总会提议卫生巾捐赠，这一很容易被人忽视、但很实用的行为。,90,北京
2010年，他在北京开了个小商店，那年我正高中，暑假第一次去的时候，他正在玩电脑。所有的东西上都有一层薄薄的灰尘，看样子很颓败。印象很深有个小女孩过来买薯片，我从高高的架子上拿下来，一层灰，女孩扫兴的说，这是什么呀，能吃吗？扭头走了。拿抹布擦了擦，日期还很新。爸爸根本无心经营。那时候我不知道，原来爸爸正在接触赌博做着他一夜暴富的美梦。2011年，爸爸小商店门了。爸爸找了个城中村里老旧的小屋，阴暗潮湿，他住在里面。寒假，我去的时候屋里特别阴冷，有一张临时用木板拼起来的床，上面的被子脏兮兮的胡乱铺上去。坐上去吱吱作响。还有一台笔记本，放在床上，有网。外面是锅碗瓢勺和一个电磁炉，脏脏的。难以描述当时的心情，心酸，难过，带着愤怒。眼泪唰唰掉下来，问爸爸为什么要这样？ 他说，我觉得挺好的，你看外面还有一间房子，咱们这是套间。他说，闺女你看看爸爸这局压大还是小。爸爸从小到大一直很爱我，虽然懒但是正直，08年汶川地震爸爸看着新闻眼泪一把一把，网上募捐也不含糊，学校当时要求捐款我记得我捐的是最多的。因为爸爸说我们帮不上什么忙，要尽微薄之力。看到残疾人爸爸从来不会多看一眼，他说别人已经不幸，不要再给他异样的眼光，你也许觉得没什么，但对他们来说是一种打击。爸爸一直是我的指明灯啊。就是这样的爸爸，突然变得让我陌生，恐惧。他的眼里已经没有我，没有家，没有一切了。可是我还是不忍心扭头就走，我对爸爸讲道理，我跟他说现状，讲未来。可是没有任何改变呢。 收起全文d,90,其他
汶川地震2008年，小米成立是2010年。//@凉城残念:回复@大科技云测评:小米果然是网络黑社会！造谣天下无敌！中兴当初被制裁，华为立马撤出专利诉讼，任正非下令严禁到中兴挖人，到小米这变味。当年汶川地震，华为公司深入检修基站信号设备，小米公关黑稿中出现苹果三星诺基亚捐款，华为一分没捐的谣言。,90,北京
【诡异佛像之谜】在汶川地震中，北川一个庙里竟有这种诡异现象。整个庙都倒塌了，旁边剩下的这个菩萨像居然毫发未伤！事后人们对此现象迷惑不！ ​,90,天津
身价百亿却只骑自行车，汶川地震默默捐款三千万，如今满头白发 L薇诺可拉的微博视频 ​,90,广东
当年汶川地震的新闻报道，这可能是主持人失误唯一一次不用罚钱的吧，好心疼~ L愤怒回收站的秒拍视频 ​​​​,90,福建
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L不形象代言人的秒拍视频 ​,90,北京
汶川地震的时候，看到战士们又累又饿，大爷跪求收下。太感动了 L边城Smile的微博视频 O网页链接 ​,90,山东
